asin,prodName,numStars,numView,price
B01ETRIS3K,Fire TV Stick mit Alexa-Sprachfernbedienung,"4,3",13.577,"EUR 39,99"
B01DFKBG54,"Amazon Echo Dot (2. Generation) Intelligenter Lautsprecher mit Alexa, Schwarz","4,1",8.758,"EUR 39,99"
B01BBWWFB2,"AVM FRITZ!Fon C5 DECT-Komforttelefon (hochwertiges Farbdisplay, HD-Telefonie, Internet-/Komfortdienste, Steuerung FRITZ!Box-Funktionen) schwarz, deutschsprachige Version","4,3",1.658,"EUR 55,00"
B01BTZFM0W,"Samsung Galaxy S7 Smartphone (5,1 Zoll (12,9 cm) Touch-Display, 32GB interner Speicher, Android OS) schwarz","3,8",1.065,"EUR 333,00"
B01DFKC22A,"Amazon Echo Dot (2. Generation) Intelligenter Lautsprecher mit Alexa, Weiß","4,1",8.758,"EUR 39,99"
B076QFNSSS,Fujifilm - Instax Mini 9 - bleu glace - appareil seul + Housse,"4,4",277,
B01N6M0I9M,"Anti-Shake Fahrradhalterung Motorrad Handy-Halter Universal Radsport Verhütung Von Abstürzen Fahrrad-Lenker Handyhalter Wiege Klammer Mit 360 Drehen Für 3,5-6,5 Zoll Smartphone GPS Andere Geräte","4,4",327,"EUR 9,88"
B07CLPS4WC,waipu.tv - Gutscheincode | TV-App für Fire TV und Smartphone | 3 Monate kostenlos testen | Digitaler Versand,"2,5",3,"EUR 0,01"
B00MAQF4EE,Fujifilm 16386016 Instax Mini Film (40 Aufnahmen) Multipack weiß,"4,6",84,"EUR 33,99"
B07BHDC9V6,"HUAWEI P20 lite Smartphone (14.83 cm (5.84 Zoll), 64GB interner Speicher, 4GB RAM, 16 MP Plus 2 MP Kamera, Android 8.0, EMUI 8.0) Schwarz","4,6",29,"EUR 285,00"
B01N6M3K34,"Samsung Galaxy A5 (2017) Smartphone ( 13,22 cm(5,2 Zoll) Touch-Display, 32 GB Speicher, Android 6.0) schwarz","4,1",845,"EUR 227,00"
B06ZXQV6P8,"Amazon Echo (2. Generation), Intelligenter Lautsprecher mit Alexa, Anthrazit Stoff","4,2",3.444,"EUR 99,99"
B017DOUW76,"Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Weiß) - mit Spezialangeboten","4,5",9.404,"EUR 99,99"
B073WR7CGM,"YAMAY Fitness Armband Uhr mit Pulsmesser,Wasserdicht IP67 Fitness Tracker Aktivitätstracker Pulsuhren Bluetooth Smart ArmbandUhr Schrittzähler mit Schlafmonitor Kalorienzähler Vibrationsalarm Anruf SMS Whatsapp Beachten kompatibel mit iPhone Android Handy (Schwarz)","4,3",752,"EUR 34,99"
B01HTH3C8S,"Anker SoundCore Mini Super Mobiler Bluetooth Lautsprecher Speaker mit 15 Stunden Spielzeit, 20 Meter Bluetooth Reichweite und Starkem Bass (Schwarz)","4,7",2.743,"EUR 24,99"
B07BXWVL8X,"Willful Fitness Armband mit Pulsmesser,Wasserdicht IP68 Fitness Tracker Farbbildschirm Aktivitätstracker Bluetooth Smart ArmbandUhr Schrittzähler Uhr mit 14 Trainingsmodi Schlafmonitor Vibrationsalarm Anruf SMS Whatsapp Beachten Bildschirm Helligkeit Einstellbar kompatibel mit iPhone Android Handy","4,7",121,"EUR 37,99"
B00EDQ4IMS,Gigaset A415 Telefon - Schnurlostelefon/Mobilteil mit Grafik Display - Dect-Telefon mit Freisprechfunktion - Analog Telefon - Schwarz,"4,3",2.200,"EUR 24,99"
B016MO90GW,Anker AK-A3102011 Mobiler Bluetooth 4.0 Lautsprecher Schwarz,"4,5",3.310,"EUR 38,99"
B074KKRW5W,"Rayovac Extra Advanced Zink Luft Hörgerätebatterie (in der Größe 312 Frustfrei-Pack, mit 60 Batterien, geeignet für Hörgeräte Hörhilfen Hörverstärker) braun","4,5",1.138,"EUR 13,50"
B07B544YX8,"Antimi Fitness Armband, Wasserdicht IP67 Fitness Tracker, Pulsuhren, Schrittzähler, Kamerasteuerung, Vibrationsalarm Anruf SMS Whatsapp Beachten kompatibel mit iPhone Android Handy (Schwarz)","4,4",224,"EUR 33,99"
B00ZUIEMM4,"HUAWEI P10 lite Dual-SIM Smartphone (13,2 cm (5,2 Zoll) Touch-Display, 32 GB interner Speicher, Android 7.0) Schwarz","4,0",402,"EUR 219,00"
B01CT6Q628,"Samsung Galaxy J3 DUOS Smartphone (12,63 cm (5 Zoll) HD Super-AMOLED-Touchscreen, 8 GB, Android 5.1 Lollipop) schwarz","3,6",509,"EUR 99,50"
